file,property,level,seed,encoder,auc_logistic_knn
syn_eid-high_seed0.csv,eid,high,0,PCA,0.9997859143657464
syn_eid-high_seed1.csv,eid,high,1,PCA,0.999462107876642
syn_eid-high_seed2.csv,eid,high,2,PCA,0.9995254981019924
syn_eid-high_seed3.csv,eid,high,3,PCA,0.9996193625898948
syn_eid-high_seed4.csv,eid,high,4,PCA,0.9995525973376038
syn_eid-low_seed0.csv,eid,low,0,PCA,0.9997859143657464
syn_eid-low_seed1.csv,eid,low,1,PCA,0.999462107876642
syn_eid-low_seed2.csv,eid,low,2,PCA,0.9995254981019924
syn_eid-low_seed3.csv,eid,low,3,PCA,0.9996193625898948
syn_eid-low_seed4.csv,eid,low,4,PCA,0.9995525973376038
syn_eid-mid_seed0.csv,eid,mid,0,PCA,0.9997859143657464
syn_eid-mid_seed1.csv,eid,mid,1,PCA,0.999462107876642
syn_eid-mid_seed2.csv,eid,mid,2,PCA,0.9995254981019924
syn_eid-mid_seed3.csv,eid,mid,3,PCA,0.9996193625898948
syn_eid-mid_seed4.csv,eid,mid,4,PCA,0.9995525973376038
syn_missing-high_seed0.csv,missing,high,0,PCA,0.9315092144960196
syn_missing-high_seed1.csv,missing,high,1,PCA,0.9153757466300853
syn_missing-high_seed2.csv,missing,high,2,PCA,0.9124538643624908
syn_missing-high_seed3.csv,missing,high,3,PCA,0.9317136405452872
syn_missing-high_seed4.csv,missing,high,4,PCA,0.9248769316295782
syn_missing-low_seed0.csv,missing,low,0,PCA,0.9593906089907788
syn_missing-low_seed1.csv,missing,low,1,PCA,0.8551354589495872
syn_missing-low_seed2.csv,missing,low,2,PCA,0.833985833985834
syn_missing-low_seed3.csv,missing,low,3,PCA,0.845381975940051
syn_missing-low_seed4.csv,missing,low,4,PCA,0.8546943777511005
syn_missing-mid_seed0.csv,missing,mid,0,PCA,0.94938087107174
syn_missing-mid_seed1.csv,missing,mid,1,PCA,0.8739858195300464
syn_missing-mid_seed2.csv,missing,mid,2,PCA,0.8932138213821381
syn_missing-mid_seed3.csv,missing,mid,3,PCA,0.881368932320391
syn_missing-mid_seed4.csv,missing,mid,4,PCA,0.9214378880993532
syn_redundancy-high_seed0.csv,redundancy,high,0,PCA,0.9356558819764464
syn_redundancy-high_seed1.csv,redundancy,high,1,PCA,0.922014214786098
syn_redundancy-high_seed2.csv,redundancy,high,2,PCA,0.9435421686024008
syn_redundancy-high_seed3.csv,redundancy,high,3,PCA,0.947578805391906
syn_redundancy-high_seed4.csv,redundancy,high,4,PCA,0.9295407599558052
syn_redundancy-low_seed0.csv,redundancy,low,0,PCA,0.7616041840099899
syn_redundancy-low_seed1.csv,redundancy,low,1,PCA,0.8435064376480379
syn_redundancy-low_seed2.csv,redundancy,low,2,PCA,0.8105387948491536
syn_redundancy-low_seed3.csv,redundancy,low,3,PCA,0.851830295757394
syn_redundancy-low_seed4.csv,redundancy,low,4,PCA,0.7500175056718377
syn_redundancy-mid_seed0.csv,redundancy,mid,0,PCA,0.856322638283483
syn_redundancy-mid_seed1.csv,redundancy,mid,1,PCA,0.872799178994268
syn_redundancy-mid_seed2.csv,redundancy,mid,2,PCA,0.8641925673006433
syn_redundancy-mid_seed3.csv,redundancy,mid,3,PCA,0.9053264053264052
syn_redundancy-mid_seed4.csv,redundancy,mid,4,PCA,0.8466754212606618
syn_skew-high_seed0.csv,skew,high,0,PCA,0.8626889307039842
syn_skew-high_seed1.csv,skew,high,1,PCA,0.8577821857126836
syn_skew-high_seed2.csv,skew,high,2,PCA,0.890403260081502
syn_skew-high_seed3.csv,skew,high,3,PCA,0.8970355881423525
syn_skew-high_seed4.csv,skew,high,4,PCA,0.8454193758745229
syn_skew-low_seed0.csv,skew,low,0,PCA,0.873724312421778
syn_skew-low_seed1.csv,skew,low,1,PCA,0.9048402620385608
syn_skew-low_seed2.csv,skew,low,2,PCA,0.8861454753092777
syn_skew-low_seed3.csv,skew,low,3,PCA,0.9074166854171356
syn_skew-low_seed4.csv,skew,low,4,PCA,0.8520533938426199
syn_skew-mid_seed0.csv,skew,mid,0,PCA,0.856322638283483
syn_skew-mid_seed1.csv,skew,mid,1,PCA,0.872799178994268
syn_skew-mid_seed2.csv,skew,mid,2,PCA,0.8641925673006433
syn_skew-mid_seed3.csv,skew,mid,3,PCA,0.9053264053264052
syn_skew-mid_seed4.csv,skew,mid,4,PCA,0.8466754212606618
syn_eid-high_seed0.csv,eid,high,0,TransTab,0.9975195078031212
syn_eid-high_seed0.csv,eid,high,0,TransTab,0.9940796318527412
syn_eid-high_seed1.csv,eid,high,1,TransTab,0.9956920878513876
syn_eid-high_seed1.csv,eid,high,1,TransTab,0.9949405798319664
syn_eid-high_seed2.csv,eid,high,2,TransTab,0.9948144948144948
syn_eid-high_seed2.csv,eid,high,2,TransTab,0.9932354932354932
syn_eid-high_seed3.csv,eid,high,3,TransTab,0.9933130860240548
syn_eid-high_seed3.csv,eid,high,3,TransTab,0.985641316515262
syn_eid-high_seed4.csv,eid,high,4,TransTab,0.9983030728842957
syn_eid-high_seed4.csv,eid,high,4,TransTab,0.9982810543667224
syn_eid-low_seed0.csv,eid,low,0,TransTab,0.9983213285314124
syn_eid-low_seed0.csv,eid,low,0,TransTab,0.9986459583833532
syn_eid-low_seed1.csv,eid,low,1,TransTab,0.9958677065696412
syn_eid-low_seed1.csv,eid,low,1,TransTab,0.988753897634801
syn_eid-low_seed2.csv,eid,low,2,TransTab,0.9973694973694972
syn_eid-low_seed2.csv,eid,low,2,TransTab,0.996949996949997
syn_eid-low_seed3.csv,eid,low,3,TransTab,0.9997889238014924
syn_eid-low_seed3.csv,eid,low,3,TransTab,0.999758412787016
syn_eid-low_seed4.csv,eid,low,4,TransTab,0.9914082743587356
syn_eid-low_seed4.csv,eid,low,4,TransTab,0.9866007312149518
syn_eid-mid_seed0.csv,eid,mid,0,TransTab,0.997515506202481
syn_eid-mid_seed0.csv,eid,mid,0,TransTab,0.99687775110044
syn_eid-mid_seed1.csv,eid,mid,1,TransTab,0.9917709371535156
syn_eid-mid_seed1.csv,eid,mid,1,TransTab,0.990439537127098
syn_eid-mid_seed2.csv,eid,mid,2,TransTab,0.9983364983364984
syn_eid-mid_seed2.csv,eid,mid,2,TransTab,0.9983029983029984
syn_eid-mid_seed3.csv,eid,mid,3,TransTab,0.9946100542295768
syn_eid-mid_seed3.csv,eid,mid,3,TransTab,0.9925573131900616
syn_eid-mid_seed4.csv,eid,mid,4,TransTab,0.9879338523698428
syn_eid-mid_seed4.csv,eid,mid,4,TransTab,0.9718152966644948
syn_missing-high_seed0.csv,missing,high,0,TransTab,0.8542894623981432
syn_missing-high_seed0.csv,missing,high,0,TransTab,0.8154393400438962
syn_missing-high_seed1.csv,missing,high,1,TransTab,0.8537942280974318
syn_missing-high_seed1.csv,missing,high,1,TransTab,0.8354433803223218
syn_missing-high_seed2.csv,missing,high,2,TransTab,0.8677580323061757
syn_missing-high_seed2.csv,missing,high,2,TransTab,0.8306741828660987
syn_missing-high_seed3.csv,missing,high,3,TransTab,0.8888930844588369
syn_missing-high_seed3.csv,missing,high,3,TransTab,0.8387285006409153
syn_missing-high_seed4.csv,missing,high,4,TransTab,0.8873672282239178
syn_missing-high_seed4.csv,missing,high,4,TransTab,0.8445307345571756
syn_missing-low_seed0.csv,missing,low,0,TransTab,0.8478523629610656
syn_missing-low_seed0.csv,missing,low,0,TransTab,0.8230400710809427
syn_missing-low_seed1.csv,missing,low,1,TransTab,0.8147742617978113
syn_missing-low_seed1.csv,missing,low,1,TransTab,0.7760344247252153
syn_missing-low_seed2.csv,missing,low,2,TransTab,0.8441083441083442
syn_missing-low_seed2.csv,missing,low,2,TransTab,0.8147248147248148
syn_missing-low_seed3.csv,missing,low,3,TransTab,0.8628572228622631
syn_missing-low_seed3.csv,missing,low,3,TransTab,0.7829821108550946
