file,property,level,seed,encoder,eff_rank,auc_logistic_knn
syn_eid-high_seed0.csv,eid,high,0,TransTab_native,2.210533731241858,0.9848989090181164
syn_eid-high_seed1.csv,eid,high,1,TransTab_native,2.7166334411538253,0.9746887223940846
syn_eid-high_seed2.csv,eid,high,2,TransTab_native,2.512026214503132,0.9759505368773104
syn_eid-high_seed3.csv,eid,high,3,TransTab_native,1.9351293900819633,0.9888682217055427
syn_eid-high_seed4.csv,eid,high,4,TransTab_native,2.1707804173594605,0.9783756345177665
syn_eid-low_seed0.csv,eid,low,0,TransTab_native,2.465361694699929,0.9853618256430787
syn_eid-low_seed1.csv,eid,low,1,TransTab_native,2.5511207555510054,0.9752853232196241
syn_eid-low_seed2.csv,eid,low,2,TransTab_native,2.1298640970691753,0.9822094381590949
syn_eid-low_seed3.csv,eid,low,3,TransTab_native,2.586438934766549,0.9739083477086927
syn_eid-low_seed4.csv,eid,low,4,TransTab_native,2.024419355649066,0.9831322047460679
syn_eid-mid_seed0.csv,eid,mid,0,TransTab_native,1.4572592193179306,0.986377239515564
syn_eid-mid_seed1.csv,eid,mid,1,TransTab_native,2.122212889380637,0.9725728648141536
syn_eid-mid_seed2.csv,eid,mid,2,TransTab_native,2.700799347724865,0.9869521211054393
syn_eid-mid_seed3.csv,eid,mid,3,TransTab_native,2.1257846038979746,0.9789854746368659
syn_eid-mid_seed4.csv,eid,mid,4,TransTab_native,2.1377309336435815,0.9815828561426321
syn_missing-high_seed0.csv,missing,high,0,TransTab_native,6.517973726383083,0.6739300883371553
syn_missing-high_seed1.csv,missing,high,1,TransTab_native,5.102019102105942,0.6980739712082592
syn_missing-high_seed2.csv,missing,high,2,TransTab_native,5.859034905368251,0.715226516572858
syn_missing-high_seed3.csv,missing,high,3,TransTab_native,6.935980913407757,0.7125982479675163
syn_missing-high_seed4.csv,missing,high,4,TransTab_native,6.688981548942043,0.685707884630999
syn_missing-low_seed0.csv,missing,low,0,TransTab_native,2.356302430070941,0.6451051101503975
syn_missing-low_seed1.csv,missing,low,1,TransTab_native,4.117237644037584,0.6858626139720272
syn_missing-low_seed2.csv,missing,low,2,TransTab_native,2.939903788398728,0.6693084863268456
syn_missing-low_seed3.csv,missing,low,3,TransTab_native,4.141939724356105,0.6813010840531655
